Specialist Task,Specialist Cluster,Cluster Family
Review laws or regulations to maintain professional knowledge,Undertake or provide professional skill and knowledge development,Human resources
Stay informed about current developments in field of specialisation,Undertake or provide professional skill and knowledge development,Human resources
Maintain professional social services knowledge,Undertake or provide professional skill and knowledge development,Human resources
Attend conferences or workshops to maintain professional knowledge,Undertake or provide professional skill and knowledge development,Human resources
Attend educational events to update medical knowledge,Undertake or provide professional skill and knowledge development,Human resources
Advise others on legal or regulatory compliance matters,"Respond to legal, regulatory and compliance issues","Records, documentation, reports and research"
Collaborate with other law enforcement or security agencies to share information,"Respond to legal, regulatory and compliance issues","Records, documentation, reports and research"
Collaborate with law enforcement or security agencies to respond to incidents,"Respond to legal, regulatory and compliance issues","Records, documentation, reports and research"
Relay information about incidents or emergencies to personnel using phones or two-way radios,"Respond to legal, regulatory and compliance issues","Records, documentation, reports and research"
Inform others about laws or regulations,"Respond to legal, regulatory and compliance issues","Records, documentation, reports and research"
Analyse impact of legal or regulatory changes,"Respond to legal, regulatory and compliance issues","Records, documentation, reports and research"
Draft legislation or regulations,"Prepare forms, legislation or proposals","Records, documentation, reports and research"
Prepare proposals or grant applications to obtain project funding,"Prepare forms, legislation or proposals","Records, documentation, reports and research"
Prepare forms or applications,"Prepare forms, legislation or proposals","Records, documentation, reports and research"
Write grant proposals,"Prepare forms, legislation or proposals","Records, documentation, reports and research"
Prepare proposal documents or grant applications,"Prepare forms, legislation or proposals","Records, documentation, reports and research"
"Prepare contracts, disclosures or applications","Prepare forms, legislation or proposals","Records, documentation, reports and research"
Prepare proposal documents,"Prepare forms, legislation or proposals","Records, documentation, reports and research"
"Prepare drafts of amendments, government policies, laws, rules, regulations, budgets, programs and procedures","Prepare forms, legislation or proposals","Records, documentation, reports and research"
Present information to the public,Present information and news to the public,"Records, documentation, reports and research"
"Inform viewers, listeners or audiences",Present information and news to the public,"Records, documentation, reports and research"
Report news to the public,Present information and news to the public,"Records, documentation, reports and research"
Provide educational information to the public,Present information and news to the public,"Records, documentation, reports and research"
Present business-related information,Present information and news to the public,"Records, documentation, reports and research"
Provide information to the general public,Present information and news to the public,"Records, documentation, reports and research"
Present social services program information to the public,Present information and news to the public,"Records, documentation, reports and research"
Provide educational materials to community members,Present information and news to the public,"Records, documentation, reports and research"
Maintain operational records,Maintain operational and production records,"Records, documentation, reports and research"
Inspect operational processes,Maintain operational and production records,"Records, documentation, reports and research"
Maintain operational records or records systems,Maintain operational and production records,"Records, documentation, reports and research"
Record operational or production data,Maintain operational and production records,"Records, documentation, reports and research"
Prepare reports related to compliance matters,Prepare or manage compliance documentation,"Records, documentation, reports and research"
Obtain documentation to authorise activities,Prepare or manage compliance documentation,"Records, documentation, reports and research"
Complete documentation required by programs or regulations,Prepare or manage compliance documentation,"Records, documentation, reports and research"
"Explain regulations, policies or procedures",Prepare or manage compliance documentation,"Records, documentation, reports and research"
"Prepare documentation for contracts, transactions or regulatory compliance",Prepare or manage compliance documentation,"Records, documentation, reports and research"
Review license or permit applications,Prepare or manage compliance documentation,"Records, documentation, reports and research"
Verify application data to determine program eligibility,Prepare or manage compliance documentation,"Records, documentation, reports and research"
Review documents or materials for compliance with policies or regulations,Prepare or manage compliance documentation,"Records, documentation, reports and research"
Coordinate regulatory documentation activities,Prepare or manage compliance documentation,"Records, documentation, reports and research"
Prepare regulatory or compliance documentation,Prepare or manage compliance documentation,"Records, documentation, reports and research"
Maintain data in information systems or databases,"Maintain records, documents or other files","Records, documentation, reports and research"
"Maintain records, documents or other files","Maintain records, documents or other files","Records, documentation, reports and research"
Maintain inventory records,"Maintain records, documents or other files","Records, documentation, reports and research"
Record staff information,"Maintain records, documents or other files","Records, documentation, reports and research"
File documents or records,"Maintain records, documents or other files","Records, documentation, reports and research"
Store records or related materials,"Maintain records, documents or other files","Records, documentation, reports and research"
Maintain call records,"Maintain records, documents or other files","Records, documentation, reports and research"
Maintain logs of production activities,"Maintain records, documents or other files","Records, documentation, reports and research"
Assess database performance,"Maintain records, documents or other files","Records, documentation, reports and research"
Record production information,"Maintain records, documents or other files","Records, documentation, reports and research"
Record personnel information,"Maintain records, documents or other files","Records, documentation, reports and research"
Maintain personnel records,"Maintain records, documents or other files","Records, documentation, reports and research"
Prepare analytical reports,Prepare reports or evaluations,"Records, documentation, reports and research"
Write reports or evaluations,Prepare reports or evaluations,"Records, documentation, reports and research"
Prepare research reports,Prepare reports or evaluations,"Records, documentation, reports and research"
Prepare data for analysis,Prepare reports or evaluations,"Records, documentation, reports and research"
Prepare investigation or incident reports,Prepare reports or evaluations,"Records, documentation, reports and research"
Convert data among multiple digital or analogue formats,Manage digital data or recordings,"Records, documentation, reports and research"
"Edit audio, photographs or video recordings",Manage digital data or recordings,"Records, documentation, reports and research"
Download data,Manage digital data or recordings,"Records, documentation, reports and research"
Retrieve information from electronic sources,Manage digital data or recordings,"Records, documentation, reports and research"
"Format digital documents, data or images",Manage digital data or recordings,"Records, documentation, reports and research"
Review audio or video recordings,Manage digital data or recordings,"Records, documentation, reports and research"
"Deliver, publish, broadcast or distribute final audio or visual media product",Manage digital data or recordings,"Records, documentation, reports and research"
Write informational material,"Distribute, write, edit or compile documents","Records, documentation, reports and research"
"Send information, materials or documentation","Distribute, write, edit or compile documents","Records, documentation, reports and research"
Edit written materials,"Distribute, write, edit or compile documents","Records, documentation, reports and research"
Edit documents,"Distribute, write, edit or compile documents","Records, documentation, reports and research"
Compile data or documentation,"Distribute, write, edit or compile documents","Records, documentation, reports and research"
Transcribe spoken or written information,"Distribute, write, edit or compile documents","Records, documentation, reports and research"
Type documents,"Distribute, write, edit or compile documents","Records, documentation, reports and research"
Monitor current trends,Gather and analyse information,"Records, documentation, reports and research"
Analyse information obtained from news sources,Gather and analyse information,"Records, documentation, reports and research"
Gather information for news stories,Gather and analyse information,"Records, documentation, reports and research"
Search information sources to find data,Gather and analyse information,"Records, documentation, reports and research"
"Search files, databases or reference materials to obtain information",Gather and analyse information,"Records, documentation, reports and research"
Observe individuals' activities to gather information or compile evidence,Gather and analyse information,"Records, documentation, reports and research"
Use databases to locate investigation details or other information,Gather and analyse information,"Records, documentation, reports and research"
Analyse website or related online data to track trends or usage,Gather and analyse information,"Records, documentation, reports and research"
Communicate with constituents and keep abreast of the issues affecting them,Gather and analyse information,"Records, documentation, reports and research"
Maintain knowledge of relevant national and international current events,Gather and analyse information,"Records, documentation, reports and research"
Research topics in area of expertise,Research or write in area of expertise,"Records, documentation, reports and research"
"Write articles, books or other materials",Research or write in area of expertise,"Records, documentation, reports and research"
Conduct anthropological or archaeological research,Research or write in area of expertise,"Records, documentation, reports and research"
Prepare scientific or technical reports or presentations,Review or prepare research or technical reports,"Records, documentation, reports and research"
Research hydrologic features or processes,Review or prepare research or technical reports,"Records, documentation, reports and research"
Read documents to gather technical information,Review or prepare research or technical reports,"Records, documentation, reports and research"
Review technical documents to plan work,Review or prepare research or technical reports,"Records, documentation, reports and research"
Prepare research or technical reports,Review or prepare research or technical reports,"Records, documentation, reports and research"
Prepare technical reports for internal use,Review or prepare research or technical reports,"Records, documentation, reports and research"
Organise informational materials,Prepare information or website content,"Records, documentation, reports and research"
Prepare graphics or other visual representations of information,Prepare information or website content,"Records, documentation, reports and research"
Update website content,Prepare information or website content,"Records, documentation, reports and research"
Prepare informational or reference materials,Prepare information or website content,"Records, documentation, reports and research"
Publish content on digital platforms or social media sites,Prepare information or website content,"Records, documentation, reports and research"
Develop social media materials,Prepare information or website content,"Records, documentation, reports and research"
Maintain records of customer accounts,Verify personal information and maintain records,"Records, documentation, reports and research"
Maintain client records,Verify personal information and maintain records,"Records, documentation, reports and research"
Maintain client information or service records,Verify personal information and maintain records,"Records, documentation, reports and research"
Maintain surveillance of individuals or establishments,Verify personal information and maintain records,"Records, documentation, reports and research"
Inform individuals or organisations of status or findings,Verify personal information and maintain records,"Records, documentation, reports and research"
Maintain social services program records,Verify personal information and maintain records,"Records, documentation, reports and research"
Verify patron or staff credentials,Verify personal information and maintain records,"Records, documentation, reports and research"
Identify implications for cases from legal precedents or other legal information,Prepare and utilise legal documentation,"Records, documentation, reports and research"
Prepare documentation of legal proceedings,Prepare and utilise legal documentation,"Records, documentation, reports and research"
Prepare legal documents,Prepare and utilise legal documentation,"Records, documentation, reports and research"
Prepare written decisions for legal proceedings,Prepare and utilise legal documentation,"Records, documentation, reports and research"
Rule on admissibility of legal proceedings,Prepare and utilise legal documentation,"Records, documentation, reports and research"
Record information from meetings or other formal proceedings,Prepare and utilise legal documentation,"Records, documentation, reports and research"
Record information about legal matters,Prepare and utilise legal documentation,"Records, documentation, reports and research"
Prepare legal or investigatory documentation,Prepare and utilise legal documentation,"Records, documentation, reports and research"
Prepare information or documentation related to legal or regulatory matters,Prepare and utilise legal documentation,"Records, documentation, reports and research"
Serve court ordered documents,Prepare and utilise legal documentation,"Records, documentation, reports and research"
Document information related to legal proceedings,Prepare and utilise legal documentation,"Records, documentation, reports and research"
Research engineering aspects of biological or chemical processes,Undertake engineering research,"Records, documentation, reports and research"
Research advanced engineering designs or applications,Undertake engineering research,"Records, documentation, reports and research"
Research engineering applications of emerging technologies,Undertake engineering research,"Records, documentation, reports and research"
Research human performance or health factors related to engineering or design activities,Undertake engineering research,"Records, documentation, reports and research"
Interpret cultural or religious information,Interpret cultural or religious information,"Records, documentation, reports and research"
Manage construction activities,Manage construction or production projects,Work activities preparation
Estimate technical or resource requirements for development or production projects,Manage construction or production projects,Work activities preparation
Mark reference points on construction materials,Manage construction or production projects,Work activities preparation
Select production input materials,Manage construction or production projects,Work activities preparation
Estimate materials requirements for projects,Manage construction or production projects,Work activities preparation
Select construction materials,Manage construction or production projects,Work activities preparation
Estimate material requirements for production,Manage construction or production projects,Work activities preparation
Monitor resources,Manage and handle resources and materials,Work activities preparation
Cut materials according to specifications or needs,Manage and handle resources and materials,Work activities preparation
Mix ingredients to create specific finishes,Manage and handle resources and materials,Work activities preparation
Select production equipment according to product specifications,Manage and handle resources and materials,Work activities preparation
"Mark products, work pieces or equipment with identifying information",Manage and handle resources and materials,Work activities preparation
Measure ingredients or substances to be used,Manage and handle resources and materials,Work activities preparation
"Calculate specific material, equipment or labour requirements",Manage and handle resources and materials,Work activities preparation
Evaluate quality of materials or products,Evaluate physical or chemical characteristics of material,Work activities preparation
"Construct distinctive physical objects for artistic, functional or commercial purposes",Evaluate physical or chemical characteristics of material,Work activities preparation
Classify materials according to standard systems,Evaluate physical or chemical characteristics of material,Work activities preparation
Test quality of materials or finished products,Evaluate physical or chemical characteristics of material,Work activities preparation
Test chemical or physical characteristics of materials or products,Evaluate physical or chemical characteristics of material,Work activities preparation
Compare physical characteristics of materials or products to specifications or standards,Evaluate physical or chemical characteristics of material,Work activities preparation
Examine physical characteristics of gemstones or precious metals,Evaluate physical or chemical characteristics of material,Work activities preparation
Weigh materials to ensure compliance with specifications,Evaluate physical or chemical characteristics of material,Work activities preparation
Compact or smooth materials to create level bases,Evaluate physical or chemical characteristics of material,Work activities preparation
Mark materials or objects for identification,Evaluate physical or chemical characteristics of material,Work activities preparation
Test characteristics of materials or structures,Evaluate physical or chemical characteristics of material,Work activities preparation
"Calculate weights, volumes or other characteristics of materials",Evaluate physical or chemical characteristics of material,Work activities preparation
Determine metal production methods,Evaluate physical or chemical characteristics of material,Work activities preparation
Determine plastic or rubber production methods,Evaluate physical or chemical characteristics of material,Work activities preparation
Determine presentation subjects or content,Determine project materials and presentation,Work activities preparation
Select project materials,Determine project materials and presentation,Work activities preparation
Determine how best to represent a concept visually,Determine project materials and presentation,Work activities preparation
Install insulation in equipment or structures,Prepare and demonstrate equipment,Work activities preparation
Lubricate production equipment,Prepare and demonstrate equipment,Work activities preparation
Demonstrate activity techniques or equipment use,Prepare and demonstrate equipment,Work activities preparation
"Set equipment guides, stops, spacers or other fixtures",Prepare and demonstrate equipment,Work activities preparation
Install gauges or controls,Prepare and demonstrate equipment,Work activities preparation
Determine production equipment settings,Prepare and demonstrate equipment,Work activities preparation
Apply solutions to production equipment,Prepare and demonstrate equipment,Work activities preparation
Align parts or work pieces for assembly,"Prepare work pieces for production, assembly or processing",Work activities preparation
Heat material or work pieces to prepare for or complete production,"Prepare work pieces for production, assembly or processing",Work activities preparation
Lay out parts to prepare for assembly,"Prepare work pieces for production, assembly or processing",Work activities preparation
Cut industrial materials in preparation for fabrication or processing,"Prepare work pieces for production, assembly or processing",Work activities preparation
Adjust position of moulds during processing,"Prepare work pieces for production, assembly or processing",Work activities preparation
"Melt metal, plastic or other materials to prepare for production","Prepare work pieces for production, assembly or processing",Work activities preparation
Grind parts,"Prepare work pieces for production, assembly or processing",Work activities preparation
Reshape metal work pieces to established specifications,"Prepare work pieces for production, assembly or processing",Work activities preparation
Prepare materials for processing,"Prepare work pieces for production, assembly or processing",Work activities preparation
Prepare products for testing,"Prepare work pieces for production, assembly or processing",Work activities preparation
Read technical information needed to perform maintenance or repairs,Analyse and evaluate documentation or technical information,Work activities preparation
Evaluate characteristics of individuals to determine needs or eligibility,Analyse and evaluate documentation or technical information,Work activities preparation
Recommend legal actions,Analyse and evaluate documentation or technical information,Work activities preparation
Read materials to determine needed actions,Analyse and evaluate documentation or technical information,Work activities preparation
Analyse shipping information to make routing decisions,Analyse and evaluate documentation or technical information,Work activities preparation
Read maps to determine routes,Analyse and evaluate documentation or technical information,Work activities preparation
Examine marketing materials to ensure compliance with policies or regulations,Analyse and evaluate documentation or technical information,Work activities preparation
Evaluate civic projects or public policies,Analyse and evaluate documentation or technical information,Work activities preparation
Analyse and understand the local and national implications of proposed legislation,Analyse and evaluate documentation or technical information,Work activities preparation
Analyse energy usage data,Analyse and evaluate documentation or technical information,Work activities preparation
"Create graphical representations of structures, landscapes or aquatic systems",Create images or representations,Work activities preparation
"Create images of data, locations or products",Create images or representations,Work activities preparation
Create images or other visual displays,Create images or representations,Work activities preparation
Coordinate special events or programs,Coordinate recreational activities or special events,Recreation and sporting events
Manage outreach activities,Coordinate recreational activities or special events,Recreation and sporting events
Organise special events,Coordinate recreational activities or special events,Recreation and sporting events
Coordinate artistic activities,Coordinate recreational activities or special events,Recreation and sporting events
"Promote products, activities, or organisations",Coordinate recreational activities or special events,Recreation and sporting events
Coordinate student extracurricular activities,Coordinate recreational activities or special events,Recreation and sporting events
Plan special events,Coordinate recreational activities or special events,Recreation and sporting events
Conduct amusement or gaming activities,Coordinate recreational activities or special events,Recreation and sporting events
Organise recreational activities or events,Coordinate recreational activities or special events,Recreation and sporting events
Coordinate athletic or sporting events or activities,Coordinate recreational activities or special events,Recreation and sporting events
Host events,Coordinate recreational activities or special events,Recreation and sporting events
Accompany individuals or groups to activities,Coordinate recreational activities or special events,Recreation and sporting events
Determine methods to minimise environmental impact,Coordinate recreational activities or special events,Recreation and sporting events
Participate in or lead outdoor adventure activities,Coordinate recreational activities or special events,Recreation and sporting events
"Determine equipment, food and supplies required for journey",Coordinate recreational activities or special events,Recreation and sporting events
Participate in athletic events,Participate in athletic events,Recreation and sporting events
"Perform swimming, diving, or aquatic activities",Participate in athletic events,Recreation and sporting events
Practice athletic or artistic skills,Rehearse or train,Recreation and sporting events
Participate in physical training to maintain fitness,Rehearse or train,Recreation and sporting events
Develop exercise or conditioning programs,Rehearse or train,Recreation and sporting events
"Advise athletes, coaches, or trainers on exercise regimens, nutrition, or equipment use",Rehearse or train,Recreation and sporting events
"Promote goods, services, or programs",Conduct sales and marketing activities,Sales and marketing
Create marketing materials,Conduct sales and marketing activities,Sales and marketing
Obtain information about goods or services,Conduct sales and marketing activities,Sales and marketing
Develop promotional materials,Conduct sales and marketing activities,Sales and marketing
Sell goods or services,Conduct sales and marketing activities,Sales and marketing
Set up merchandise displays,Conduct sales and marketing activities,Sales and marketing
"Market goods, services or events",Conduct sales and marketing activities,Sales and marketing
Perform marketing activities,Conduct sales and marketing activities,Sales and marketing
Demonstrate products to consumers,Conduct sales and marketing activities,Sales and marketing
Develop promotional strategies or plans,Conduct sales and marketing activities,Sales and marketing
Write advertising or promotional material,Conduct sales and marketing activities,Sales and marketing
Explain use of goods or services,Conduct sales and marketing activities,Sales and marketing
Arrange items for use or display,Conduct sales and marketing activities,Sales and marketing
Implement advertising or marketing initiatives,Conduct sales and marketing activities,Sales and marketing
"Sell motor vehicles, caravans or automotive products",Conduct sales and marketing activities,Sales and marketing
Develop marketing plans or strategies,Develop marketing plans,Sales and marketing
Coordinate sales campaigns,Develop marketing plans,Sales and marketing
Develop marketing plans or strategies for environmental initiatives,Develop marketing plans,Sales and marketing
Merchandise health care goods or services,Develop marketing plans,Sales and marketing
Schedule release of marketing content,Develop marketing plans,Sales and marketing
Maintain records of sales or other business transactions,Maintain sales and business transaction records,Sales and marketing
Monitor sales activities,Maintain sales and business transaction records,Sales and marketing
Review accuracy of sales or other transactions,Maintain sales and business transaction records,Sales and marketing
Process sales or other transactions,Maintain sales and business transaction records,Sales and marketing
Record sales or transactions data,Maintain sales and business transaction records,Sales and marketing
Share sales-related or market information with colleagues,Develop and distribute marketing material,Sales and marketing
Contact current or potential customers to promote goods or services,Develop and distribute marketing material,Sales and marketing
Deliver promotional presentations to current or prospective customers,Develop and distribute marketing material,Sales and marketing
Develop content for sales presentations or other materials,Develop and distribute marketing material,Sales and marketing
Distribute promotional literature or samples to customers,Develop and distribute marketing material,Sales and marketing
Identify potential customers,Develop and distribute marketing material,Sales and marketing
Discuss goods or services information with customers or patrons,Develop and distribute marketing material,Sales and marketing
Develop proposals for current or prospective customers,Develop and distribute marketing material,Sales and marketing
Visit establishments to evaluate needs or to promote products or service sales,Develop and distribute marketing material,Sales and marketing
"Provide basic information to guests, visitors, or clients",Provide customer service and communicate information,Customer service
Communicate organisational information to customers or other stakeholders,Provide customer service and communicate information,Customer service
Collect data about customer needs,Provide customer service and communicate information,Customer service
Resolve customer complaints or problems,Provide customer service and communicate information,Customer service
Answer customer questions about goods or services,Provide customer service and communicate information,Customer service
"Greet customers, patrons or visitors",Provide customer service and communicate information,Customer service
Correspond with customers to answer questions or resolve complaints,Provide customer service and communicate information,Customer service
Present work to clients for approval,Provide customer service and communicate information,Customer service
Advise customers on the use of goods or services,Provide customer service and communicate information,Customer service
Gather customer or product information to determine customer needs,Provide customer service and communicate information,Customer service
Recommend goods or services to customers,Provide customer service and communicate information,Customer service
Provide transportation information to passengers or customers,Provide customer service and communicate information,Customer service
Collect information about clients,Provide customer service and communicate information,Customer service
Confer with customers or users to assess problems,Provide customer service and communicate information,Customer service
"Communicate with clients about products, procedures and policies",Provide customer service and communicate information,Customer service
Communicate with customers to resolve complaints or ensure satisfaction,Provide customer service and communicate information,Customer service
Discuss service options or needs with clients,Provide customer service and communicate information,Customer service
Document client health or progress,Provide customer service and communicate information,Customer service
Respond to customer inquiries,Provide customer service and communicate information,Customer service
Take customer orders,Provide customer service and communicate information,Customer service
Provide customers with general information or assistance,Provide customer service and communicate information,Customer service
Gather information in order to provide services to clients,Provide customer service and communicate information,Customer service
Respond to customer problems or complaints,Provide customer service and communicate information,Customer service
Answer telephones to direct calls or provide information,Provide customer service and communicate information,Customer service
Provide notifications to customers or patrons,Provide customer service and communicate information,Customer service
Issue documentation or identification to customers or employees,Provide customer service and communicate information,Customer service
Refer customers to appropriate staff,Provide customer service and communicate information,Customer service
Take product orders,Provide customer service and communicate information,Customer service
Schedule appointments with prospective customers,Provide customer service and communicate information,Customer service
Present sustainable goods or services information to the public,Provide customer service and communicate information,Customer service
Provide customer service to clients or users,Provide customer service and communicate information,Customer service
Train customers in the use of products,Provide customer service and communicate information,Customer service
Measure clients to ensure proper product fit,Provide customer service and communicate information,Customer service
"Inform the public about policies, services or procedures",Provide customer service and communicate information,Customer service
Review customer information,Provide customer service and communicate information,Customer service
Issue certificates or licenses,Provide customer service and communicate information,Customer service
Assist individuals with paperwork,Provide customer service and communicate information,Customer service
Assist customers with product selection,Provide customer service and communicate information,Customer service
Explain use of products or services,Provide customer service and communicate information,Customer service
Manage guest services,Provide guest services,Customer service
Usher patrons to seats or exits,Provide guest services,Customer service
Assist customers with seating arrangements,Provide guest services,Customer service
Distribute resources to patrons or employees,Provide guest services,Customer service
Arrange services or reservations for patrons,Provide guest services,Customer service
"Make travel, accommodation or entertainment arrangements for others",Provide guest services,Customer service
Handle luggage or other possessions for patrons,Provide guest services,Customer service
Assist patrons with entering or exiting vehicles or other forms of transportation,Provide guest services,Customer service
Guide patrons on tours,Provide tourism services to patrons,Customer service
Provide attraction or event information to patrons,Provide tourism services to patrons,Customer service
Provide patrons with directions to locales or attractions,Provide tourism services to patrons,Customer service
"Advise and answer questions on historically, culturally or environmentally relevant local interest points",Provide tourism services to patrons,Customer service
Compute gaming wins and losses,Manage gaming and betting,Customer service
Conduct gaming transactions,Manage gaming and betting,Customer service
Operate gaming equipment,Manage gaming and betting,Customer service
Manage environmental sustainability projects,Undertake environmental sustainability planning or activities,Environmental management
Develop environmental remediation or protection plans,Undertake environmental sustainability planning or activities,Environmental management
Evaluate green operations or programs for compliance with standards or regulations,Undertake environmental sustainability planning or activities,Environmental management
Evaluate environmental impact of operational or development activities,Undertake environmental sustainability planning or activities,Environmental management
Identify environmental concerns,Undertake environmental sustainability planning or activities,Environmental management
Develop environmental sustainability plans or projects,Undertake environmental sustainability planning or activities,Environmental management
Promote environmental sustainability or conservation initiatives,Undertake environmental sustainability planning or activities,Environmental management
"Review environmental permits, plans or reports",Undertake environmental sustainability planning or activities,Environmental management
Review plans or proposals for environmental conservation,Undertake environmental sustainability planning or activities,Environmental management
Direct natural resources management or conservation programs,Undertake environmental sustainability planning or activities,Environmental management
Plan natural resources conservation or restoration programs,Undertake environmental sustainability planning or activities,Environmental management
Develop plans to manage natural or renewable resources,Undertake environmental sustainability planning or activities,Environmental management
Evaluate environmental or sustainability projects,Undertake environmental sustainability planning or activities,Environmental management
Maintain operational records for green energy processes or other environmentally sustainable activities,Undertake environmental sustainability planning or activities,Environmental management
Design water conservation systems,Undertake environmental sustainability planning or activities,Environmental management
Investigate the environmental impact of projects,Undertake environmental sustainability planning or activities,Environmental management
Design environmental control systems,Undertake environmental sustainability planning or activities,Environmental management
Direct environmental development activities,Undertake environmental sustainability planning or activities,Environmental management
Monitor environmental impacts of production or development activities,Undertake environmental sustainability planning or activities,Environmental management
Inspect landscaping to determine treatment needs,Undertake environmental sustainability planning or activities,Environmental management
Undertake natural conservation or restoration activities,Undertake environmental sustainability planning or activities,Environmental management
Analyse risks related to investments in green technology,Undertake environmental sustainability planning or activities,Environmental management
"Train employees on environmental awareness, conservation or safety topics",Teach environmental awareness and sustainability,Environmental management
Supervise workers performing environmentally sustainable activities,Teach environmental awareness and sustainability,Environmental management
Teach safety standards or environmental compliance methods,Teach environmental awareness and sustainability,Environmental management
Research issues related to the environment or sustainable business practices,Undertake environmental and sustainability research,Environmental management
Research impacts of environmental conservation initiatives,Undertake environmental and sustainability research,Environmental management
Conduct research of processes in natural or industrial ecosystems,Undertake environmental and sustainability research,Environmental management
Communicate results of environmental research,Undertake environmental and sustainability research,Environmental management
Locate natural resources using geospatial or other environmental data,Undertake environmental and sustainability research,Environmental management
Compile environmental or climate data,Undertake environmental and sustainability research,Environmental management
Plan environmental research,Undertake environmental and sustainability research,Environmental management
Prepare research or technical reports on environmental issues,Undertake environmental and sustainability research,Environmental management
Research environmental impact of industrial or development activities,Undertake environmental and sustainability research,Environmental management
Apply knowledge or research findings to address environmental problems,Undertake environmental and sustainability research,Environmental management
Conduct climate research,Undertake environmental and sustainability research,Environmental management
Develop environmental research methods,Undertake environmental and sustainability research,Environmental management
Analyse environmental data,Undertake environmental and sustainability research,Environmental management
Evaluate logistics methods to reduce environmental impact,Environmental impact reduction planning,Environmental management
Implement transportation changes to reduce environmental impact,Environmental impact reduction planning,Environmental management
Determine methods to minimise environmental impact of activities,Environmental impact reduction planning,Environmental management
Appraise environmental impact of regulations or policies,Environmental impact reduction planning,Environmental management
Identify opportunities for green initiatives,Design or install sustainable processes and systems,Environmental management
Incorporate green features into the design of structures or facilities,Design or install sustainable processes and systems,Environmental management
Design energy efficient equipment or systems,Design or install sustainable processes and systems,Environmental management
Research design or application of green technologies,Design or install sustainable processes and systems,Environmental management
Install metering equipment,Design or install sustainable processes and systems,Environmental management
"Develop operating strategies, plans or procedures for green or sustainable operations",Design or install sustainable processes and systems,Environmental management
Test green technologies or processes,Design or install sustainable processes and systems,Environmental management
Evaluate the characteristics of green technologies,Design or install sustainable processes and systems,Environmental management
Install green plumbing or water handling systems,Design or install sustainable processes and systems,Environmental management
Test green technology installations to verify performance,Design or install sustainable processes and systems,Environmental management
Operate energy distribution equipment,Design or install sustainable processes and systems,Environmental management
Operate natural gas distribution equipment,Design or install sustainable processes and systems,Environmental management
Analyse risks to minimise losses or damages,Assess areas and conditions for risks and hazards,Environmental management
Measure environmental characteristics,Assess areas and conditions for risks and hazards,Environmental management
Inspect cargo to identify potential hazards,Assess areas and conditions for risks and hazards,Environmental management
Monitor surroundings to detect potential hazards,Assess areas and conditions for risks and hazards,Environmental management
Monitor activities affecting environmental quality,Assess areas and conditions for risks and hazards,Environmental management
Inspect areas for compliance with sanitation standards,Assess areas and conditions for risks and hazards,Environmental management
Collect environmental data or samples,Assess areas and conditions for risks and hazards,Environmental management
Inspect condition of natural environments,Assess areas and conditions for risks and hazards,Environmental management
Test facilities for environmental hazards,Assess areas and conditions for risks and hazards,Environmental management
Record operational or environmental data,Assess areas and conditions for risks and hazards,Environmental management
Test fluids to identify contamination or other problems,Assess areas and conditions for risks and hazards,Environmental management
Monitor environment to ensure safety,Assess areas and conditions for risks and hazards,Environmental management
Record information about environmental conditions,Assess areas and conditions for risks and hazards,Environmental management
